param	ind	val	var	lci	uci
mu	NA	0.0001	nan	nan	nan
ne	NA	6129.70669155	8611.80475005	5947.8190638	6311.5943193
maxf	NA	3.707092e-01	NA	3.707092e-01	3.707092e-01
dminf	NA	9.672592e-07	NA	9.672592e-07	9.672592e-07
srep	NA	-0.0	NA	-0.0351012026113	-0.0351012026113
s1	0	0.10911754863	2.44209472887e-05	0.0994317078762	0.118803389383
s2	1	0.00664144787065	8.80788255118e-06	0.000824544776343	0.012458350965
s3	2	-0.00137634074984	4.88756303962e-06	-0.00570947612425	0.00295679462458
s4	3	-0.0069293944769	2.92420157294e-06	-0.0102810526878	-0.00357773626601
s5	4	-0.00346457850099	1.87770307317e-06	-0.00615035290065	-0.000778804101323
s6	5	-0.00647873247253	1.3293590351e-06	-0.00873857000414	-0.00421889494093
s7	6	-0.00919095337778	9.32886121845e-07	-0.0110840395685	-0.00729786718701
s8	7	-0.0198653974301	6.94285567806e-07	-0.0214985439138	-0.0182322509464
s9	8	-0.0262688081071	5.9683874844e-07	-0.0277830127617	-0.0247546034525
s10	9	-0.0421847913853	5.46772623579e-07	-0.0436340952564	-0.0407354875142
ll	NA	-67.9801598787	NA	NA	NA
s0ll	NA	-3779.91459286	NA	NA	NA
s0ne	NA	6026.62684618	8324.60030783	5844.73921843	6208.51447392
llrpval	NA	0.	NA	NA	NA
